Mean	Max	Min	Date
27.3	34	21	1/1/2014
23.3	34	18	1/2/2014
21.3	27.1	14.9	1/3/2014
23	32	14	1/4/2014
25.7	34	16.7	1/5/2014
27.7	36	19.3	1/6/2014
27.7	35.8	20	1/7/2014
24.1	35.2	18.5	1/8/2014
27.1	33	20	1/9/2014
27.1	33.5	19.3	1/10/2014
23.8	31.3	17	1/11/2014
20.4	28.2	13.9	1/12/2014
23.8	31	16	1/13/2014
26.6	32	19.6	1/14/2014
28.2	35	20.4	1/15/2014
29.8	37	21.4	1/16/2014
29.4	36.7	20.4	1/17/2014
31.4	38	24.5	1/18/2014
29.2	38.6	24	1/19/2014
29.6	37	22.8	1/20/2014
29.3	36.9	25	1/21/2014
29.8	38	23	1/22/2014
34.3	39	25.7	1/23/2014
22.6	34.2	16	1/24/2014
18.1	23	10.7	1/25/2014
21.3	29	13.9	1/26/2014
25.4	30	19.8	1/27/2014
24.2	30.6	21.7	1/28/2014
24.4	29	20.5	1/29/2014
25.6	31	21	1/30/2014
28.2	34	22.3	1/31/2014
26.1	33.9	22	2/1/2014
22.2	28.3	16	2/2/2014
21.7	25.7	19	2/3/2014
22.7	27	19.4	2/4/2014
26	34	20.8	2/5/2014
19.3	34	15.8	2/6/2014
23.3	30	16.5	2/7/2014
29.4	35.3	20.4	2/8/2014
23.6	35.3	19.7	2/9/2014
23.1	28	20.7	2/10/2014
22.6	28.2	19	2/11/2014
23.6	29	18.6	2/12/2014
23.8	29.3	20.4	2/13/2014
22.1	28.1	18.6	2/14/2014
21.7	27	17	2/15/2014
21.7	26.6	18.3	2/16/2014
23	26.4	19.2	2/17/2014
23.7	28	20.7	2/18/2014
24.2	29	21	2/19/2014
24.6	30	20.9	2/20/2014
22.9	30.8	19.8	2/21/2014
21.6	29.3	19	2/22/2014
22	28	16	2/23/2014
23.1	29	16.4	2/24/2014
19.4	29.4	15	2/25/2014
17.1	22	12.3	2/26/2014
17.3	24	11.6	2/27/2014
19	26	11	2/28/2014
21.2	27	14.6	3/1/2014
21.9	27.8	17.9	3/2/2014
20.3	26.6	17.4	3/3/2014
19.4	25.4	16	3/4/2014
22.4	29	15.9	3/5/2014
